001,003,005,020,040,090,092,100,245,264,300,520,590,920,923,LDR
\\,\\,\\,\\$a3519076144,\\$aMePoLT $cMePoLT $erda,\4$aPA 3952 .A5 R1 1995,\4$a880.9,"1\$aRadicke, Jan.",10$aDie Rede des Demosthenes f©ơr die Freiheit der Rhodier (or. 15).,,\\$a214  p.,\\$aDie Rede des Demosthenes f©ơr die Freiheit der Rhodier (or. 15) by Jan Radicke (1995),,,\\$aYour library,00482     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aBL 785 .H38 1962,\4$a200,"1\$aHarrison, Jane Ellen.","10$aEpilegomena to the study of Greek religion, and Themis; a study of the social origins of Greek religion.",,\\$alvi; 600  p.,"\\$aEpilegomena to the study of Greek religion, and Themis; a study of the social origins of Greek religion by Jane Ellen Harrison (1962)",,,\\$aYour library,00551     2200157 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3952 .L93 1961,,"1\$aLuccioni, Jean.",10$aDe mosthe  ne et le panhelle nisme.,,\\$a200  p.,\\$aDe mosthe  ne et le panhelle nisme by Jean Luccioni (1961),,,\\$aYour library,00381     2200145 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 4002 .A2 1884 v.1,,1\$aHerodotus.,"10$aHistoriarum, Libri 9. vol. 1.",,,"\\$aHistoriarum, Libri 9. vol. 1 by Herodotus (1884)",,\\$a2 vols,\\$aYour library,00358     2200145 i 4500
\\,\\,\\,\\$a0521333288,\\$aMePoLT $cMePoLT $erda,\4$aBD 495 .F87 1987 v. 1,\4$a113/.0938,"1\$aFurley, David J.",10$aThe Greek cosmologists v. 1.,"\1$aCambridge ; New York  $b Cambridge University Press, 1987-",,\\$aThe Greek cosmologists v. 1 by David J. Furley (1987),,,\\$aYour library,00473     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3911 .S75 1922,,"1\$aRostagni, Agosto.","10$aStudi Italiani di Filologia Classica (2, fasc. 1-2).",,,"\\$aStudi Italiani di Filologia Classica (2, fasc. 1-2) by Agosto Rostagni (1922)",,,\\$aYour library,00391     2200133 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3906 .J22 1948,\4$a185.1,"1\$aJaeger, Werner Wilhelm.",10$aAristotle: fundamentals of the history of his development.,,,\\$aAristotle: fundamentals of the history of his development by Werner Wilhelm Jaeger (1948),,,\\$aYour library,00437     2200145 i 4500
\\,\\,\\,\\$a0472094874,\\$aMePoLT $cMePoLT $erda,\4$aPA 3965 .D18 Z96 1992,\4$a885/.01,"1\$aWorthington, Ian.",10$aA historical commentary on Dinarchus: rhetoric and conspiracy in later fourth-century Athens.,,\\$axvi; 394  p.,\\$aA historical commentary on Dinarchus: rhetoric and conspiracy in later fourth-century Athens by Ian Worthington (1992),,,\\$aYour library,00557     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aBL 785 .S66 1969,,"1\$aSokolowski, Franciszek.",10$aLois sacre es des cite s grecques.,"\1$aParis  $b E d. E. de Boccard, 1969",\\$aVIII; 368  p.,\\$aLois sacre es des cite s grecques by Franciszek Sokolowski (1969),,,\\$aYour library,00451     2200157 i 4500
\\,\\,\\,\\$a0521375487,\\$aMePoLT $cMePoLT $erda,\4$aPA 3965 .D2 1992,\4$a885/.01,1\$aDio Chrysostom.,"10$aOrations VII, XII, and XXXVI.",,\\$aviii; 266  p.,"\\$aOrations VII, XII, and XXXVI by Dio Chrysostom (1992)",,,\\$aYour library,00422     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3965 .D2 C9 1897,,1\$aDio Chrysostom.,10$aThe hunters of Euboea.,,\\$aix; 65  p.,\\$aThe hunters of Euboea by Dio Chrysostom (1897),,,\\$aYour library,00357     2200145 i 4500
\\,\\,\\,\\$a0405117302,\\$aMePoLT $cMePoLT $erda,\4$aPA 3906 .R65 1944,\4$a185,"1\$aRobin, L©♭on.",10$aAristote.,,\\$a324  p.,\\$aAristote by L©♭on Robin (1944),,,\\$aYour library,00368     2200169 i 4500
\\,\\,\\,\\$a9004041818,\\$aMePoLT $cMePoLT $erda,\4$aPA 4002 .A32 L6 v.1,\4$a809,"1\$aLloyd, Alan B.","10$aHerodotus, Book II: Introduction and Commentary (vol. 1).",,\\$axv; 194  p.,"\\$aHerodotus, Book II: Introduction and Commentary (vol. 1) by Alan B. Lloyd (1975)",,\\$a3 vols,\\$aYour library,00496     2200181 i 4500
\\,\\,\\,\\$a0198145624,\\$aMePoLT $cMePoLT $erda,\4$aPA 3891 .A2 1964,\4$a160,1\$aAristotle.,10$aAristotelis Analytica priora et posteriora.,,\\$aXII; 197  p.,\\$aAristotelis Analytica priora et posteriora by Aristotle (1964),,,\\$aYour library,00435     2200169 i 4500
\\,\\,\\,\\$a0198147422,\\$aMePoLT $cMePoLT $erda,\4$aBL 788 .P37 1996,\4$a292.2,"1\$aParker, Robert.",10$aMiasma : pollution and purification in early Greek religion.,"\1$aOxford, England : New York  $b Clarendon Press ; Oxford University Press, 1996, c1983.",\\$axviii; 413  p.,\\$aMiasma : pollution and purification in early Greek religion by Robert Parker (1983),,,\\$aYour library,00584     2200181 i 4500
\\,\\,\\,\\$a9004065547,\\$aMePoLT $cMePoLT $erda,\4$aBL 790 .B22 1982,\4$a664.9008981,"1\$aBerthiaume, Guy.","10$aLes ro les du ma geiros : e tude sur la boucherie, la cuisine et le sacrifice dans la Gr ece ancienne.","\1$aLeiden  $b Brill, 1982.",\\$a141  p.,"\\$aLes ro les du ma geiros : e tude sur la boucherie, la cuisine et le sacrifice dans la Gr ece ancienne by Guy Berthiaume (1982)",,,\\$aYour library,00612     2200181 i 4500
\\,\\,\\,\\$a0674033205,\\$aMePoLT $cMePoLT $erda,\4$aBF 1591 .F37 1999,\4$a133.4/42/0938,"1\$aFaraone, Christopher A.",10$aAncient Greek love magic.,"\1$aCambridge, Mass. ; London  $b Harvard University Press, 1999.",\\$axii; 223  p.,\\$aAncient Greek love magic by Christopher A. Faraone (1999),,\\$amissing,\\$aYour library,00537     2200193 i 4500
\\,\\,\\,\\$a0674541510,\\$aMePoLT $cMePoLT $erda,\4$aBF 1591 .G7213 1997,\4$a133.4/3/093,"1\$aGraf, Fritz.",10$aMagic in the ancient world.,"\1$aCambridge, Mass.  $b Harvard University Press, 1997.",\\$a313  p.,\\$aMagic in the ancient world by Fritz Graf (1997),,,\\$aYour library,00480     2200181 i 4500
\\,\\,\\,\\$a0198145160,\\$aMePoLT $cMePoLT $erda,\4$aPA 3893 .T7 1958,\4$a185,1\$aAristotle.,10$aAristotelis Topica et Sophistici elenchi.,,\\$aVIII; 260  p.,\\$aAristotelis Topica et Sophistici elenchi by Aristotle (1958),,,\\$aYour library,00432     2200169 i 4500
\\,\\,\\,\\$a0405047916,\\$aMePoLT $cMePoLT $erda,\4$aPA 4002 .A34 1973,\4$a938,1\$aHerodotus.,"10$aHerodotus: the fourth, fifth, and sixth books.",,\\$acxx; 396  p.,"\\$aHerodotus: the fourth, fifth, and sixth books by Herodotus (1973)",,,\\$aYour library,00442     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 4002 .A36 S9 1891,\4$a888.1,1\$aHerodotus.,"10$aHerodotus, book VI.",,\\$alxvii; 235  p.,"\\$aHerodotus, book VI by Herodotus (1891)",,,\\$aYour library,00368     2200157 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aCN 360 .R75 1931,,"1\$aRobert, L.",10$aSupplementum epigraphicum Graecum 5.,,,\\$aSupplementum epigraphicum Graecum 5 by L. Robert (1931),,,\\$aYour library,00345     2200133 i 4500
\\,\\,\\,\\$a0198149794,\\$aMePoLT $cMePoLT $erda,\4$aBL 793 .A76 P37 1996,\4$a292.08,"1\$aParker, Robert.",10$aAthenian Religion : A History.,"\1$aOxford, Eng.  $b Clarendon Press Oxford, 1996.",\\$axxv; 370  p.,\\$aAthenian Religion : A History by Robert Parker (1996),,,\\$aYour library,00487     2200181 i 4500
\\,\\,\\,\\$a0807815632,\\$aMePoLT $cMePoLT $erda,\4$aBL 793 .A76 M54 1983,\4$a292/.08,"1\$aMikalson, Jon D.",10$aAthenian Popular Religion.,"\1$aChapel Hill  $b University of North Carolina Press, c1983.",\\$axiv; 172  p.,\\$aAthenian Popular Religion by Jon D. Mikalson (1983),,,\\$aYour library,00495     2200181 i 4500
\\,\\,\\,\\$a0788501038,\\$aMePoLT $cMePoLT $erda,\4$aBL 793 .E93 L53 1995,\4$a938/.8,"1\$aLiDonnici, Lynn R.",10$aThe Epidaurian Miracle Inscriptions.,"\1$aAtlanta, Ga.  $b Scholars Press, c1995.",\\$a155  p.,\\$aThe Epidaurian Miracle Inscriptions by Lynn R. LiDonnici (1995),,,\\$aYour library,00494     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aB 171 .B964 1914,\4$a182,"1\$aBurnet, John.",10$aGreek philosophy : Thales to Plato.,"\1$aLondon  $b Macmillan, 1914.",\\$ax; 360  p.,\\$aGreek philosophy : Thales to Plato by John Burnet (1914),,,\\$aYour library,00438     2200169 i 4500
\\,\\,\\,\\$a3519012766,\\$aMePoLT $cMePoLT $erda,\4$aPA 3965 .D3 1887 v.1,\4$aD0501159178,1\$aDiodorus Siculus.,"10$aDiodori Bibliotheca Historica, vol. 1.",,,"\\$aDiodori Bibliotheca Historica, vol. 1 by Diodorus Siculus (1887)",,\\$a6 vols,\\$aYour library,00445     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aB 168 .R5 1898,,"1\$aRitter, Heinrich.",10$aHistoria philosophiae graecae.,"\1$aGothae  $b F. A. Perthes, 1898.",\\$aiv; 598  p.,\\$aHistoria philosophiae graecae by Heinrich Ritter (1898),,,\\$aYour library,00419     2200157 i 4500
\\,\\,\\,\\$a3598778260,\\$aMePoLT $cMePoLT $erda,\4$aBF 1674 .D455 2005,\4$a130,"1\$aDenningmann, Susanne.",10$aDie astrologische Lehre der Doryphorie eine soziomorphe Metapher in der antiken Planetenastrologie [BzA 214].,"\1$aM©ơnchen  $b K. G. Saur, 2005.",\\$a548  p.,\\$aDie astrologische Lehre der Doryphorie eine soziomorphe Metapher in der antiken Planetenastrologie [BzA 214] by Susanne Denningmann (2005),,,\\$aYour library,00631     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3966 .D3 1910,\4$a801,1\$aDionysius of Halicarnassus.,"10$aDionysius of Halicarnassus On literary composition, being the Greek text of the De compositione verborum.",,\\$axiii; 358  p.,"\\$aDionysius of Halicarnassus On literary composition, being the Greek text of the De compositione verborum by Dionysius of Halicarnassus (1910)",,\\$amissing,\\$aYour library,00591     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3965 .D3 1970 v.6,\4$a888.01,1\$aDiodorus Siculus.,"10$aDiodori Bibliotheca Historica, vol. 6.",,,"\\$aDiodori Bibliotheca Historica, vol. 6 by Diodorus Siculus (1970)",,\\$a6 vols,\\$aYour library,00413     2200157 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aCN 360 .S9 D6 1915,\4$a481.7,"1\$aDittenberger, Wilhelm.",10$aSylloge inscriptionum graecarum (vols. 1-4).,"\1$aReprint, Hildesheim: Georg Olms of Lipsiae  $b apud S. Hirzelium, 1915-24.",,\\$aSylloge inscriptionum graecarum (vols. 1-4) by Wilhelm Dittenberger (1915),,\\$a4 vols,\\$aYour library,00521     2200169 i 4500
\\,\\,\\,\\$a3534043162,\\$aMePoLT $cMePoLT $erda,\4$aB 288 .S72,\4$a183/.1,"1\$aClassen, Carl Joachim.",10$aSophistik.,"\1$aDarmstadt  $b Wiss. Buchges., 1976",\\$aVIII; 713  p.,\\$aSophistik by Carl Joachim Classen (1976),,,\\$aYour library,00440     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aBF 1761 .B75 1879,\4$a133.3,"1\$aBouche -Leclercq, Auguste.",10$aHistoire de la divination dans l'antiquite  v. 1-4.,"\1$aParis  $b E. Leroux, 1879-82.",,\\$aHistoire de la divination dans l'antiquite  by Auguste Bouche -Leclercq (1879),,\\$a4 vols,\\$aYour library,00494     2200169 i 4500
\\,\\,\\,\\$a0713465611,\\$aMePoLT $cMePoLT $erda,\4$aHT 1191 .B73 1989,\4$a937.04,"1\$aBradley, K. R.","10$aSlavery and rebellion in the Roman world, 140-70 BC.","\1$aLondon  $b Batsford, 1989.",\\$axiii; 186  p.,"\\$aSlavery and rebellion in the Roman world, 140-70 BC by K. R. Bradley (1989)",,,\\$aYour library,00508     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aCN 360 .S9 D7 1970,,"1\$aDittenberger, Wilhelm.",10$aOrientis graeci inscriptiones selectae : Supplementum Sylloges inscriptionum graecarum (vols. 1-2).,"\1$aReprint Hildesheim: Georg Olms of Lipsiae  $b S. Hirzel, 1903-05.",,\\$aOrientis graeci inscriptiones selectae : Supplementum Sylloges inscriptionum graecarum (vols. 1-2) by Wilhelm Dittenberger (1970),,\\$a2 vols,\\$aYour library,00600     2200157 i 4500
\\,\\,\\,\\$a0674006186,\\$aMePoLT $cMePoLT $erda,\4$aBF 575 .A5 H346 2001,\4$a152.4/7/0938,"1\$aHarris, William V.",10$aRestraining rage : the ideology of anger control in classical antiquity.,"\1$aCambridge, Mass.  $b Harvard University Press, 2001.",\\$axii; 468  p.,\\$aRestraining rage : the ideology of anger control in classical antiquity by William V. Harris (2001),,,\\$aYour library,00590     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3965 .D5 B7 1997,,"1\$aBl©Łzquez, J.M.",10$aProblemas econ©đmicos y sociales de los siglos V y IV a.C. en Diodoro de Sicilia.,,,\\$aProblemas econ©đmicos y sociales de los siglos V y IV a.C. en Diodoro de Sicilia by J.M. Bl©Łzquez (1997),,,\\$aYour library,00448     2200133 i 4500
\\,\\,\\,\\$a0915932024,\\$aMePoLT $cMePoLT $erda,\4$aPA 39 .P73 1975,\4$a801,"1\$aPaper, Herbert H.",10$aLanguage and texts : the nature of linguistic evidence.,"\1$aAnn Arbor  $b Center for Coordin. of Ancient and mod. studies, 1975",\\$a204  p.,\\$aLanguage and texts : the nature of linguistic evidence by Herbert H. Paper (1975),,,\\$aYour library,00550     2200181 i 4500
\\,\\,\\,\\$a0691036004,\\$aMePoLT $cMePoLT $erda,\4$aPA 3965 .D5 S23 1990,\4$a930,"1\$aSacks, Kenneth.",10$aDiodorus Siculus and the first century.,,\\$axii; 242  p.,\\$aDiodorus Siculus and the first century by Kenneth Sacks (1990),,,\\$aYour library,00440     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aCN 360 .T63 1946,,"1\$aTod, Marcus Niebuhr.",10$aA selection of Greek historical inscriptions (vols. 1-2).,,,\\$aA selection of Greek historical inscriptions (vols. 1-2) by Marcus Niebuhr Tod (1946),,\\$a2 vols,\\$aYour library,00429     2200145 i 4500
\\,\\,\\,\\$a0788500317,\\$aMePoLT $cMePoLT $erda,\4$aBL 795 .E5 C38 1996,\4$a292.6/5/09385,"1\$aCavanaugh, Maureen B.","10$aEleusis and Athens : documents in finance, religion, and politics in the fifth century B.C..","\1$aAtlanta, Ga.  $b Scholars Press, c1996.",\\$axxii; 238  p.,"\\$aEleusis and Athens : documents in finance, religion, and politics in the fifth century B.C. by Maureen B. Cavanaugh (1996)",,,\\$aYour library,00624     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aKJA 147 .B64 2002,\4$a346.04,1\$aRichard Bohr.,10$aDas verbot der eigenmachtigen Besitzumwandlung im romischen privatrecht.,,,\\$aDas verbot der eigenmachtigen Besitzumwandlung im romischen privatrecht by Richard Bohr (2002),,,\\$aYour library,00447     2200145 i 4500
\\,\\,\\,\\$a0198149476,\\$aMePoLT $cMePoLT $erda,\4$aBL 795 .S47 P53 1994,\4$a292.3/5/0938,"1\$aAlcock, Susan E.",10$aPlacing the gods : sanctuaries and sacred space in ancient Greece.,"\1$aOxford : New York  $b Clarendon Press ; Oxford University Press, 1994.",\\$ax; 271  p.,\\$aPlacing the gods : sanctuaries and sacred space in ancient Greece by Susan E. Alcock (1994),,,\\$aYour library,00590     2200181 i 4500
\\,\\,\\,\\$a0900587679,\\$aMePoLT $cMePoLT $erda,\4$aKJA 195 .R66 1996,\4$a340.5/4,"1\$aCrawford, Michael H.","10$aRoman statutes, vols. 1-2.","\1$aLondon  $b Institute of Classical Studies, School of Advanced Study, University of London, 1996.",\\$axxviii; 877  p.,"\\$aRoman statutes, vols. 1-2 by Michael H. Crawford (1996)",,\\$a2 vols,\\$aYour library,00564     2200193 i 4500
\\,\\,\\,\\$a0521809355,\\$aMePoLT $cMePoLT $erda,\4$aBL 795 .S47 P43 2005,\4$a292.3/5,"1\$aPedley, John Griffiths.",10$aSanctuaries and the sacred in the ancient Greek world.,"\1$aCambridge ; New York  $b Cambridge University Press, 2005.",\\$axviii; 272  p.,\\$aSanctuaries and the sacred in the ancient Greek world by John Griffiths Pedley (2005),,,\\$aYour library,00566     2200181 i 4500
\\,\\,\\,\\$a3406366864,\\$aMePoLT $cMePoLT $erda,\4$aPA 39 .B29 1992,\4$a028/.9,"1\$aBlanck, Horst.",10$aDas Buch in der Antike.,"\1$aM©ơnchen  $b Beck, c1992.",\\$a246  p.,\\$aDas Buch in der Antike by Horst Blanck (1992),,,\\$aYour library,00440     2200181 i 4500
\\,\\,\\,\\$a0807827983,\\$aMePoLT $cMePoLT $erda,\4$aBL 795 .W28 M55 2003,\4$a292.08,"1\$aMikalson, Jon D.",10$aHerodotus and religion in the Persian Wars.,"\1$aChapel Hill  $b University of North Carolina Press, c2003.",\\$axiv; 269  p.,\\$aHerodotus and religion in the Persian Wars by Jon D. Mikalson (2003),,,\\$aYour library,00528     2200181 i 4500
\\,\\,\\,\\$a0521639611,\\$aMePoLT $cMePoLT $erda,\4$aKJA 147 .J64 1999,\4$a340.5/4,"1\$aJohnston, David Chambliss.",10$aRoman law in context.,"\1$aCambridge  $b Cambridge University Press, C1999",\\$aix; 153  p.,\\$aRoman law in context by David Chambliss Johnston (1999),,,\\$aYour library,00489     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aBL 800 .B2 1953,\4$a200.932,"1\$aBell, Sir H. Idris.",10$aCults and creeds in Graeco-Roman Egypt.,"\1$aLiverpool  $b Liverpool University Press, 1953.",\\$ax; 117  p.,\\$aCults and creeds in Graeco-Roman Egypt by Sir H. Idris Bell (1953),,,\\$aYour library,00481     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aKJA 1088 .I57 1913,\4$a340.5,"1\$aMoyle, John Baron.",10$aThe Institutes of Justinian.,,\\$aviii; 220  p.,\\$aThe Institutes of Justinian by John Baron Moyle (1913),,,\\$aYour library,00398     2200157 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3965 .D6 2002,\4$a180,1\$aDiogenes Laertius.,10$aDiogenis Laertii Vitae philosophorum. Vol. III: Indices.,,,\\$aDiogenis Laertii Vitae philosophorum. Vol. III: Indices by Diogenes Laertius (2002),,,\\$aYour library,00421     2200145 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3965 .D8 1967,\4$a187,1\$aDiogenes of Oenoanda.,10$aDiogensis Oenoandensis Fragmenta.,,\\$axviii; 106  p.,\\$aDiogensis Oenoandensis Fragmenta by Diogenes of Oenoanda. (1967),,,\\$aYour library,00413     2200157 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPN 1924 .C8,,"1\$aCooper, Lane.","10$aAn Aristotelian theory of comedy, with an adaptation of the Poetics, and a translation of the &#039;Tractatus Coislinianus,&#039;.",,\\$axxi; 323  p.,"\\$aAn Aristotelian theory of comedy, with an adaptation of the Poetics, and a translation of the &#039;Tractatus Coislinianus,&#039; by Lane Cooper (1922)",,\\$amissing,\\$aYour library,00586     2200157 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3965 .D7 B15 1818,,"1\$aBahnsch, F.",10$aQuaestionum de Diogenis Laertii Fontibus Initia.,,,\\$aQuaestionum de Diogenis Laertii Fontibus Initia by F. Bahnsch (1818),,,\\$aYour library,00375     2200133 i 4500
\\,\\,\\,\\$a0198152396,\\$aMePoLT $cMePoLT $erda,\4$aPA 3965 .S79 1998,\4$a938,"1\$aStylianou, P. J.","10$aA historical commentary on Diodorus Siculus, Book 15.",,\\$axxii; 602  p.,"\\$aA historical commentary on Diodorus Siculus, Book 15 by P. J. Stylianou (1998)",,,\\$aYour library,00469     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aKBD 32 .D56 L38,\4$a338.526,"1\$aLauffer, Siegfried.",10$aDiokletians Preisedikt.,"\1$aBerlin  $b De Gruyter, 1971",\\$aVIII; 361  p.,\\$aDiokletians Preisedikt by Siegfried Lauffer (1971),,\\$amissing,\\$aYour library,00456     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aKBD 200 .A726 1902,\4$a340.5409,"1\$aRoby, Henry John.","10$aRoman private law : in the times of Cicero and of the Antonines, vols. 1-2.","\1$aCambridge  $b Cambridge University Press, 1902.",\\$axiii; 560  p.,"\\$aRoman private law : in the times of Cicero and of the Antonines, vols. 1-2 by Henry John Roby (1902)",,\\$a2 vols,\\$aYour library,00579     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aK 50 .R6 J6 1954,\4$a340.5,"1\$aJolowicz, H. F.",10$aHistorical Introduction to the Study of Roman Law.,"\1$a[S.l.]  $b Cambridge u. Pr., 1954.",,\\$aHistorical Introduction to the Study of Roman Law by H. F. Jolowicz (1954),,,\\$aYour library,00455     2200157 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aCN 380 .C5 C52 1988,,"1\$aChatzopoulos, Miltiade s V.",10$aActes de vente de la Chalcidique centrale.,"\1$aParis  $b Diffusion de Boccard, 1988.",\\$a102  p.,\\$aActes de vente de la Chalcidique centrale by Miltiade s V. Chatzopoulos (1988),,,\\$aYour library,00473     2200157 i 4500
\\,\\,\\,\\$a0672512513,\\$aMePoLT $cMePoLT $erda,\4$aBL 801 .G78 1957,\4$a292,"1\$aGrant, Frederick C.",10$aAncient Roman religion.,"\1$aIndianapolis  $b Bobbs-Merrill, 1957.",\\$axxxv; 252  p.,\\$aAncient Roman religion by Frederick C Grant (1957),,,\\$aYour library,00466     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aBL 801 .R78 1948,\4$a292,"1\$aRose, H. J.",10$aAncient Roman religion.,,\\$a164  p.,\\$aAncient Roman religion by H. J. Rose (1948),,,\\$aYour library,00365     2200157 i 4500
\\,\\,\\,\\$a0226169685,\\$aMePoLT $cMePoLT $erda,\4$aBL 802 .D893 1970,\4$a292/.07,"1\$aDume zil, Georges.","10$aArchaic Roman Religion : with an appendix on the religion of the Etruscans, vols. 1-2.","\1$aChicago ; London  $b University of Chicago Press, 1970.",\\$axxx  p.,"\\$aArchaic Roman Religion : with an appendix on the religion of the Etruscans, vols. 1-2 by Georges Dume zil (1970)",,\\$a2 vols,\\$aYour library,00632     2200193 i 4500
\\,\\,\\,\\$a0199224331,\\$aMePoLT $cMePoLT $erda,\4$aBL 802 .N67 2000,\4$a292.07,"1\$aNorth, John A.",10$aRoman Religion.,"\1$aOxford  $b Oxford University Press, 2000.",\\$a99  p.,\\$aRoman Religion by John A. North (2000),,,\\$aYour library,00441     2200181 i 4500
\\,\\,\\,\\$a0415023726,\\$aMePoLT $cMePoLT $erda,\4$aBL 805 .A64 1994,\4$a292.9,"1\$aAnderson, Graham.","10$aSage, saint, and sophist : holy men and their associates in the early Roman Empire.","\1$aLondon ; New York  $b Routledge, 1994.",\\$axii; 289  p.,"\\$aSage, saint, and sophist : holy men and their associates in the early Roman Empire by Graham Anderson (1994)",,,\\$aYour library,00584     2200181 i 4500
\\,\\,\\,\\$a0631200460,\\$aMePoLT $cMePoLT $erda,\4$aBL 805 .T8713 1996,\4$a292.9,"1\$aTurcan, Robert.",10$aThe cults of the Roman Empire.,"\1$aOxford, UK ; Cambridge, Mass.  $b Blackwell, 1996.",\\$axiii; 399  p.,\\$aThe cults of the Roman Empire by Robert Turcan (1996),,,\\$aYour library,00489     2200181 i 4500
\\,\\,\\,\\$a3598778201,\\$aMePoLT $cMePoLT $erda,\4$aBL 820 .H96 M28 2004,\4$a485,"1\$aMauerhofer, Kenneth.",10$aDer Hylas-Mythos in der antiken Literatur.,"\1$aM©ơnchen ; Leipzig  $b Saur, 2004",\\$a485  p.,\\$aDer Hylas-Mythos in der antiken Literatur by Kenneth Mauerhofer (2004),,,\\$aYour library,00500     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aBR 110 .M44 1986,,"1\$aMeimares, Ioannes Emmanouel.","10$aSacred names, saints, martyrs and church officials in the Greek inscriptions and papyri pertaining to the Christian church of Palestine.","\1$aAthens  $b The National Hellenic Research Foundation, Centre for Greek and Roman Antiquity, 1986",\\$axviii; 292  p.,"\\$aSacred names, saints, martyrs and church officials in the Greek inscriptions and papyri pertaining to the Christian church of Palestine by Ioannes Emmanouel Meimares (1986)",,,\\$aYour library,00723     2200157 i 4500
\\,\\,\\,\\$a0670808482,\\$aMePoLT $cMePoLT $erda,\4$aBR 128 .R7 L361 1986,\4$a291,"1\$aLane Fox, Robin.",10$aPagans and Christians.,"\1$aLondon  $b Viking, 1986.",\\$a799  p.,\\$aPagans and Christians by Robin Lane Fox (1986),,,\\$aYour library,00443     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aBR 131 .M37,\4$a913.376,"1\$aMarucchi, Orazio.",10$aManual of Christian archeology.,"\1$aPaterson, N.J.  $b St. Anthony Guild Press, c1935, 1949 printing.",\\$axiv; 450  p.,\\$aManual of Christian archeology by Orazio Marucchi (1935),,,\\$aYour library,00477     2200169 i 4500
\\,\\,\\,\\$a8804284501,\\$aMePoLT $cMePoLT $erda,\4$aBR 1603 .A1 A873 1998,\4$a272.1,"1\$aBastiaensen, A.A.R., A. Hilhorst, G.A.A., Kortekaas, A.P. Orban, M. M. van Assendelft.",10$aAtti e passioni dei martiri.,,,"\\$aAtti e passioni dei martiri by A.A.R. Bastiaensen, A. Hilhorst, G.A.A., Kortekaas, A.P. Orban, M. M. van Assendelft (1998)",,,\\$aYour library,00534     2200157 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aBR 165 .G9 1912 v.1,\4$a270.1,"1\$aGwatkin, H. M.",10$aEarly Church history : to AD 313.,"\1$aBasingstoke  $b Macmillan, 1912.",,\\$aEarly Church history : to AD 313 by H. M. Gwatkin (1912),,,\\$aYour library,00420     2200157 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aBR 1720 .A6 A7 1998,\4$a270.1,"1\$aBartelink, G.J.M.",10$aVita di Antonio.,,,\\$aVita di Antonio by G.J.M. Bartelink (1998),,,\\$aYour library,00344     2200145 i 4500
